,address1,address2,city,country_code,description,latitude,longitude,state_code,zip_code,location,Geolocation
0,5 Clock Tower Place,Suite 140,Maynard,USA,Headquarters,42.431652,-71.455658,MA,01754,"[-71.455658, 42.431652]","[-71.455658, 42.431652]"
1,2111 Mission Street,Suite 302,San Francisco,USA,Headquarters,37.7652755,-122.4204782,CA,94110,"[-122.4204782, 37.7652755]","[-122.4204782, 37.7652755]"
2,20 Wollaton Street,,Nottingham,GBR,,52.951997,-1.142778,,NG1 5FW,"[-1.142778, 52.951997]","[-1.142778, 52.951997]"
5,381 Flat Hills Rd,,Amherst,USA,World Headquarters,42.4164071,-72.4960864,MA,01002,"[-72.4960864, 42.4164071]","[-72.4960864, 42.4164071]"
9,10713 South Jordan Gateway,Suite 100,South Jordan,USA,Headquarters,40.3310529,-111.7276347,UT,84095,"[-111.7276347, 40.3310529]","[-111.7276347, 40.3310529]"
11,580 Division Street,,Campbell,USA,World HQ,37.2628816,-121.9602134,CA,95008,"[-121.9602134, 37.2628816]","[-121.9602134, 37.2628816]"
12,710 - 2nd Avenue,Suite 1100,Seattle,USA,,47.603122,-122.333253,WA,98104,"[-122.333253, 47.603122]","[-122.333253, 47.603122]"
13,270 Lafayette Street,Suite 505,New York,USA,,40.7237306,-73.9964312,NY,10012,"[-73.9964312, 40.7237306]","[-73.9964312, 40.7237306]"
14,1840 Embarcadero Road,,Palo Alto,USA,,37.451958,-122.116026,CA,94303,"[-122.116026, 37.451958]","[-122.116026, 37.451958]"
15,4888 Pearl East Circle,Suite 300W,Boulder,USA,,40.031015,-105.227764,CO,80301,"[-105.227764, 40.031015]","[-105.227764, 40.031015]"
17,4500 Biscayne Blvd,Suite 306,Miami,USA,Miami Office,25.817674,-80.18874,FL,33137,"[-80.18874, 25.817674]","[-80.18874, 25.817674]"
18,4500 Biscayne Blvd,Suite 306,Miami,USA,Miami Office,25.817674,-80.18874,FL,33137,"[-80.18874, 25.817674]","[-80.18874, 25.817674]"
21,"10a Belmont Street,",,London,GBR,,51.5441671,-0.1506897,,NW1 8HH,"[-0.1506897, 51.5441671]","[-0.1506897, 51.5441671]"
23,424 Church Street,Suite 2000,Nashville,USA,Worldwide Headquarters,-31.91998,115.90154,TN,37219,"[115.90154, -31.91998]","[115.90154, -31.91998]"
25,2501 Michigan Ave,,Santa Monica,USA,Blip Studios,34.0272246,-118.4682333,CA,90404,"[-118.4682333, 34.0272246]","[-118.4682333, 34.0272246]"
26,"555 West 57th Street, Suite 1326",,New York,USA,HQ,40.770437,-73.990426,NY,10019,"[-73.990426, 40.770437]","[-73.990426, 40.770437]"
29,,,Washington,USA,World Headquarters,34.0324632,-118.395863,DC,20007,"[-118.395863, 34.0324632]","[-118.395863, 34.0324632]"
30,265 Winter Street,,Waltham,USA,HQ,42.3988661,-71.253781,MA,02451,"[-71.253781, 42.3988661]","[-71.253781, 42.3988661]"
31,"2nd Floor, Promâ€™s, 3H, 7C Main, 3rd Block Koramangala,",,Bangalore,IND,India Office,12.9346716,77.6317612,,560034,"[77.6317612, 12.9346716]","[77.6317612, 12.9346716]"
32,145 Rosemary St.,Suite D,Needham,USA,,42.296111,-71.238524,MA,02494,"[-71.238524, 42.296111]","[-71.238524, 42.296111]"
33,1327 Jones Dr. Suite 106,,Ann Arbor,USA,Zattoo USA,42.292649,-83.734673,MI,48105,"[-83.734673, 42.292649]","[-83.734673, 42.292649]"
35,"275 Wyman Street,",Suite 130,Waltham,USA,HQ,42.405685,-71.255857,MA,02451,"[-71.255857, 42.405685]","[-71.255857, 42.405685]"
36,4043 N Ravenswood ave,suite 106,chicago,USA,,41.955054,-87.673059,IL,60613,"[-87.673059, 41.955054]","[-87.673059, 41.955054]"
37,"197 1st Avenue, Suite 200",,Needham,USA,,42.299905,-71.221675,MA,02494,"[-71.221675, 42.299905]","[-71.221675, 42.299905]"
40,1370 Willow Road,2nd Floor,Menlo Park,USA,Menlo Park Office,37.477944,-122.151234,CA,94025,"[-122.151234, 37.477944]","[-122.151234, 37.477944]"
41,1900 O'Farrell St.,Suite 320,San Mateo,USA,,37.548415,-122.315636,CA,94403,"[-122.315636, 37.548415]","[-122.315636, 37.548415]"
42,469 El Camino Real,Ste 201,Santa Clara,USA,Headquarters,33.585767,-117.731283,CA,95050,"[-117.731283, 33.585767]","[-117.731283, 33.585767]"
44,488 Wellington St. W,Suite 200,Toronto,CAN,World Headquarters,43.64308,-79.406775,,M5V 1E3,"[-79.406775, 43.64308]","[-79.406775, 43.64308]"
45,1190 Airport Boulevard,"Napa Valley Gateway Plaza, Suite 200",Napa,USA,HQ,38.223032,-122.261642,CA,94558,"[-122.261642, 38.223032]","[-122.261642, 38.223032]"
46,,,Tel Aviv,ISR,Israeli Headquarters,32.0554,34.7595,,,"[34.7595, 32.0554]","[34.7595, 32.0554]"
47,122 West 26th Street,8th Floor,New York,USA,US Headquarters,40.745064,-73.992637,NY,10001,"[-73.992637, 40.745064]","[-73.992637, 40.745064]"
48,1111 Torrey Pines Road,,La Jolla,USA,EMAS Pro (main office),32.842958,-117.271461,CA,92037,"[-117.271461, 32.842958]","[-117.271461, 32.842958]"
49,"312 Walnut Street, Suite 1600",,Cincinnati,USA,EMAS Pro (regional sales),39.098927,-84.510753,OH,45202,"[-84.510753, 39.098927]","[-84.510753, 39.098927]"
50,"3J,  3rd Cross, 7th 'C' Main","3rd Block, Koramangala",Bangalore,IND,Corporate Office,12.937677,77.56574,,560034,"[77.56574, 12.937677]","[77.56574, 12.937677]"
51,230 W 41st street,14th Floor,New York,USA,World Headquarters,40.754211,-73.97917,NY,10036,"[-73.97917, 40.754211]","[-73.97917, 40.754211]"
53,Box  3404,,Stockholm,SWE,Swedish office,59.6121259,17.8947672,,103 68,"[17.8947672, 59.6121259]","[17.8947672, 59.6121259]"
54,"Building 3, Chiswick Park",566 Chiswick High Road,London,GBR,,51.462904,-0.263377,,W4 5YA,"[-0.263377, 51.462904]","[-0.263377, 51.462904]"
55,6580 Via del Oro,,San Jose,USA,Silicon Valley Office,37.235298,-121.782424,CA,95119,"[-121.782424, 37.235298]","[-121.782424, 37.235298]"
56,191 airport blvd,,burlingame,USA,Corporate Office,37.587789,-122.334643,CA,94010,"[-122.334643, 37.587789]","[-122.334643, 37.587789]"
58,"181 N. 11th Street, Suite 307",,New York City,USA,,40.719436,-73.954391,NY,11211,"[-73.954391, 40.719436]","[-73.954391, 40.719436]"
59,191 airport blvd,,burlingame,USA,Corporate Office,37.587789,-122.334643,CA,94010,"[-122.334643, 37.587789]","[-122.334643, 37.587789]"
61,"181 N. 11th Street, Suite 307",,New York City,USA,,40.719436,-73.954391,NY,11211,"[-73.954391, 40.719436]","[-73.954391, 40.719436]"
62,Gueterstrasse 99,,Basel,CHE,HQ,46.465626,6.845464,,4053,"[6.845464, 46.465626]","[6.845464, 46.465626]"
